time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-06T03:29:29.120Z,35.7043333,-117.5108333,11.13,4.51,mlr,11,102,0.1241,0.26,ci,ci38457583,2019-07-06T23:04:32.728Z,"12km SW of Searles Valley, CA",earthquake,0.51,1.74,0.191,15,reviewed,ci,ci
2019-07-04T19:21:32.040Z,35.6713333,-117.4803314,3.01,4.5,mw,68,47,0.08593,0.2,ci,ci38443871,2019-07-06T19:31:03.688Z,"13km SSW of Searles Valley, CA",earthquake,0.19,0.82,,4,reviewed,ci,ci
2019-07-06T13:06:55.200Z,35.9280014,-117.706337,1.53,4.5,mw,54,40,0.08527,0.19,ci,ci38463551,2019-07-07T01:09:19.563Z,"18km E of Little Lake, CA",earthquake,0.18,0.34,,6,reviewed,ci,ci
2019-07-06T23:50:41.930Z,35.8188324,-117.6591644,2.97,4.5,mw,57,41,0.08653,0.17,ci,ci38469375,2019-07-07T01:23:10.948Z,"22km N of Ridgecrest, CA",earthquake,0.16,0.75,,6,reviewed,ci,ci
2019-07-04T17:35:01.660Z,35.644,-117.5671667,4.64,4.49,mlr,41,74,0.103,0.15,ci,ci38443191,2019-07-05T17:48:49.591Z,"10km ENE of Ridgecrest, CA",earthquake,0.15,0.46,0.132,9,reviewed,ci,ci
2019-07-06T09:30:40.890Z,35.9029999,-117.7365036,-0.58,4.49,mw,41,43,0.2941,0.19,ci,ci38460983,2019-07-06T21:50:17.158Z,"16km ESE of Little Lake, CA",earthquake,0.16,0.78,,6,reviewed,ci,ci
2019-07-04T22:12:08.280Z,35.7443333,-117.5663333,1.97,4.47,mw,72,44,0.1586,0.19,ci,ci38445087,2019-07-06T21:48:24.040Z,"15km W of Searles Valley, CA",earthquake,0.11,0.39,,6,reviewed,ci,ci
2019-07-06T09:29:20.990Z,35.8831673,-117.7236633,2.9,4.46,mlr,42,42,0.1917,0.2,ci,ci38460975,2019-07-06T22:39:35.333Z,"18km ESE of Little Lake, CA",earthquake,0.21,0.96,0.206,25,reviewed,ci,ci
2019-07-06T03:57:53.063Z,35.8778,-117.591,5,4.4,ml,,33,0.592,1.28,us,us70004bpw,2019-07-06T23:24:03.206Z,"20km NW of Searles Valley, California",earthquake,2.3,2,0.036,100,reviewed,us,us
2019-07-06T03:30:25.130Z,35.5525017,-117.3598328,8.11,4.37,mlr,47,31,0.02776,0.21,ci,ci38457591,2019-07-06T22:08:35.426Z,"24km S of Trona, CA",earthquake,0.26,0.4,0.186,19,reviewed,ci,ci
2019-07-06T04:52:17.730Z,35.8746681,-117.6988297,1.95,4.36,mlr,42,53,0.1219,0.18,ci,ci38458079,2019-07-06T19:48:12.806Z,"20km ESE of Little Lake, CA",earthquake,0.19,0.53,0.243,15,reviewed,ci,ci
2019-07-06T04:07:04.720Z,35.5556679,-117.5240021,3.73,4.35,mlr,72,43,0.05903,0.26,ci,ci38457775,2019-07-06T18:26:04.830Z,"16km ESE of Ridgecrest, CA",earthquake,0.19,0.72,0.23,15,reviewed,ci,ci
2019-07-04T18:47:06.600Z,35.675499,-117.4885025,7.04,4.34,mw,68,47,0.09135,0.2,ci,ci38443647,2019-07-06T05:49:55.860Z,"13km SW of Searles Valley, CA",earthquake,0.18,0.84,,4,automatic,ci,ci
2019-07-06T03:24:22.390Z,35.9045,-117.7335,6.64,4.34,mlr,17,56,0.08017,0.15,ci,ci38457535,2019-07-06T19:46:42.008Z,"16km ESE of Little Lake, CA",earthquake,0.28,0.62,0.339,6,reviewed,ci,ci
2019-07-06T03:36:16.450Z,35.901165,-117.7285004,5.67,4.24,mlr,41,37,0.08693,0.24,ci,ci38457615,2019-07-06T22:09:41.861Z,"16km ESE of Little Lake, CA",earthquake,0.26,0.88,0.265,16,reviewed,ci,ci
2019-07-06T03:32:46.890Z,35.8951683,-117.7350006,4.7,4.23,mlr,21,153,0.08621,0.16,ci,ci38457599,2019-07-06T19:38:26.708Z,"16km ESE of Little Lake, CA",earthquake,0.64,0.82,0.327,24,reviewed,ci,ci
2019-07-06T04:19:54.920Z,35.8893333,-117.712,3.86,4.22,ml,7,176,0.1046,0.08,ci,ci38457855,2019-07-06T18:28:22.854Z,"18km ESE of Little Lake, CA",earthquake,0.39,31.61,0.172,4,reviewed,ci,ci
2019-07-06T05:25:04.590Z,35.8310013,-117.6774979,0.62,4.18,mlr,56,40,0.07446,0.22,ci,ci38458375,2019-07-06T18:33:52.679Z,"23km N of Ridgecrest, CA",earthquake,0.16,0.41,0.166,14,reviewed,ci,ci
2019-07-06T03:46:26.900Z,35.6783333,-117.4748306,2.81,4.17,mlr,59,39,0.09221,0.23,ci,ci38457679,2019-07-06T18:20:39.628Z,"12km SSW of Searles Valley, CA",earthquake,0.17,0.5,0.2,15,reviewed,ci,ci
2019-07-06T05:58:17.850Z,35.9263344,-117.6968307,2.15,4.17,mlr,55,35,0.1007,0.27,ci,ci38458655,2019-07-06T08:01:54.468Z,"19km E of Little Lake, CA",earthquake,0.21,0.49,0.306,15,reviewed,ci,ci
2019-07-04T19:56:00.500Z,35.6623333,-117.524,1.49,4.16,mw,81,23,0.09089,0.18,ci,ci38444103,2019-07-05T19:59:11.066Z,"14km ENE of Ridgecrest, CA",earthquake,0.1,0.26,,6,reviewed,ci,ci
2019-07-06T03:28:46.750Z,35.9095001,-117.7235031,4.31,4.16,mlr,23,77,0.08619,0.27,ci,ci38457559,2019-07-06T22:09:02.540Z,"17km E of Little Lake, CA",earthquake,0.52,0.87,0.18,15,reviewed,ci,ci
2019-07-06T04:40:16.040Z,35.6401672,-117.4468307,2.31,4.16,mlr,55,39,0.055,0.21,ci,ci38457983,2019-07-06T18:32:29.471Z,"15km SSW of Searles Valley, CA",earthquake,0.16,0.32,0.281,15,reviewed,ci,ci
2019-07-04T18:27:59.190Z,35.7426667,-117.5565,1.45,4.14,mlr,61,44,0.1737,0.17,ci,ci38443535,2019-07-05T18:30:50.062Z,"14km WSW of Searles Valley, CA",earthquake,0.13,0.41,0.259,15,reviewed,ci,ci
2019-07-04T17:40:18.530Z,35.7063333,-117.522,2.65,4.13,mlr,29,135,0.1253,0.26,ci,ci38443231,2019-07-06T19:30:09.470Z,"13km WSW of Searles Valley, CA",earthquake,0.38,1.19,0.136,17,reviewed,ci,ci
2019-07-06T11:53:08.060Z,35.8964996,-117.734169,1.76,4.12,mw,58,35,0.09123,0.17,ci,ci38462679,2019-07-06T18:03:17.955Z,"16km ESE of Little Lake, CA",earthquake,0.17,0.33,,6,reviewed,ci,ci
2019-07-06T06:34:47.460Z,35.8951683,-117.7266693,7.47,4.1,mlr,55,37,0.09157,0.21,ci,ci38458999,2019-07-06T20:01:41.179Z,"17km ESE of Little Lake, CA",earthquake,0.19,0.66,0.237,15,reviewed,ci,ci
2019-07-06T16:36:04.575Z,35.5939,-117.5225,11,4.1,mwr,,60,0.647,1.39,us,us70004cyv,2019-07-07T00:51:36.776Z,"13km ESE of Ridgecrest, California",earthquake,1.6,2,0.027,132,reviewed,us,us
2019-07-05T12:38:30.070Z,35.7719994,-117.5721664,7.05,4.09,mw,62,44,0.04827,0.21,ci,ci38451079,2019-07-06T12:39:59.640Z,"15km W of Searles Valley, CA",earthquake,0.2,0.54,,6,reviewed,ci,ci
2019-07-06T06:12:51.980Z,35.5769997,-117.3731689,3.82,4.09,mlr,67,27,0.05241,0.19,ci,ci38458759,2019-07-06T18:38:02.624Z,"21km S of Trona, CA",earthquake,0.19,0.53,0.228,15,reviewed,ci,ci
2019-07-06T08:59:55.970Z,35.6183319,-117.4166641,2.77,4.09,mw,56,47,0.04885,0.36,ci,ci38460631,2019-07-06T20:36:33.776Z,"17km SSW of Trona, CA",earthquake,0.31,0.56,,6,reviewed,ci,ci
2019-07-06T03:55:20.060Z,35.9025002,-117.6855011,3.04,4.07,mlr,46,38,0.117,0.25,ci,ci38457735,2019-07-06T22:10:55.170Z,"20km E of Little Lake, CA",earthquake,0.23,1.11,0.199,15,reviewed,ci,ci
2019-07-04T23:34:00.850Z,35.6588326,-117.5274963,5.04,4.04,mw,59,44,0.08966,0.16,ci,ci38445703,2019-07-06T21:56:02.040Z,"14km ENE of Ridgecrest, CA",earthquake,0.18,0.67,,4,reviewed,ci,ci
2019-07-05T00:18:01.340Z,35.7731667,-117.6159973,1.65,4.04,mw,62,43,0.1261,0.18,ci,ci38445975,2019-07-06T00:21:05.312Z,"18km NNE of Ridgecrest, CA",earthquake,0.17,0.42,,6,reviewed,ci,ci
2019-07-06T03:28:01.080Z,35.9160004,-117.7493362,7.13,4.04,mlr,14,135,0.06471,0.17,ci,ci38457551,2019-07-06T19:38:11.714Z,"14km E of Little Lake, CA",earthquake,0.62,1.24,0.225,10,reviewed,ci,ci
2019-07-06T10:48:24.400Z,35.5776672,-117.3730011,3.59,4.04,mw,69,27,0.05305,0.14,ci,ci38461879,2019-07-06T19:06:42.754Z,"21km S of Trona, CA",earthquake,0.16,0.59,,6,reviewed,ci,ci
2019-07-05T00:32:06.570Z,35.7028351,-117.4833298,-0.1,4.02,mw,60,53,0.1174,0.13,ci,ci38446071,2019-07-06T00:35:05.993Z,"10km SW of Searles Valley, CA",earthquake,0.14,0.49,,6,reviewed,ci,ci
2019-07-04T17:39:35.120Z,35.6233,-117.5795,12.18,4,ml,,139,0.102,1.25,us,us70004a0p,2019-07-06T06:43:39.686Z,"8km E of Ridgecrest, California",earthquake,1.4,7.9,0.273,17,reviewed,ci,ci
2019-07-06T03:41:38.650Z,35.882,-117.7166667,5.41,3.99,mlr,24,101,0.0831,0.2,ci,ci38457639,2019-07-06T22:04:02.040Z,"18km ESE of Little Lake, CA",earthquake,0.42,1.03,0.171,164,reviewed,ci,ci
2019-07-06T03:44:01.620Z,35.923,-117.733,7.39,3.99,mlr,10,158,0.07151,0.07,ci,ci38457663,2019-07-06T22:14:27.040Z,"16km E of Little Lake, CA",earthquake,0.26,0.43,0.197,133,reviewed,ci,ci
2019-07-04T17:02:55.360Z,35.707,-117.5058333,10.28,3.98,mw,77,38,0.1254,0.19,ci,ci38443095,2019-07-06T19:29:31.936Z,"11km SW of Searles Valley, CA",earthquake,0.14,0.36,,6,reviewed,ci,ci
2019-07-04T20:14:50.140Z,35.6991653,-117.5130005,2,3.98,mlr,66,46,0.1198,0.19,ci,ci38444215,2019-07-05T20:16:46.637Z,"12km SW of Searles Valley, CA",earthquake,0.17,0.53,0.234,16,reviewed,ci,ci
2019-07-05T02:01:59.120Z,35.6409988,-117.5476685,10.56,3.98,mw,64,43,0.08836,0.24,ci,ci38446647,2019-07-06T19:37:28.073Z,"12km E of Ridgecrest, CA",earthquake,0.2,0.45,,6,reviewed,ci,ci
2019-07-06T17:41:33.210Z,35.8708344,-117.7138367,6.77,3.98,mw,53,41,0.07471,0.19,ci,ci38466343,2019-07-06T22:41:00.423Z,"19km ESE of Little Lake, CA",earthquake,0.2,0.6,,6,reviewed,ci,ci
2019-07-06T05:13:15.040Z,35.8728333,-117.6608353,3.35,3.96,mlr,51,41,0.1061,0.26,ci,ci38458263,2019-07-06T19:53:00.706Z,"23km ESE of Little Lake, CA",earthquake,0.22,1,0.208,16,reviewed,ci,ci
2019-07-06T08:59:57.440Z,35.551,-117.386,4.7,3.96,mw,10,177,0.03134,0.08,ci,ci38460639,2019-07-06T23:07:44.055Z,"24km S of Trona, CA",earthquake,0.32,0.21,,4,reviewed,ci,ci
2019-07-05T00:45:39.420Z,35.6910019,-117.5096664,3.68,3.95,mlr,73,46,0.1112,0.19,ci,ci38446159,2019-07-06T00:47:49.414Z,"13km SW of Searles Valley, CA",earthquake,0.18,0.65,0.183,16,reviewed,ci,ci
2019-07-05T14:39:33.410Z,35.7428322,-117.5674973,2.33,3.94,mw,61,44,0.07674,0.16,ci,ci38452095,2019-07-06T14:41:36.957Z,"15km W of Searles Valley, CA",earthquake,0.17,0.45,,6,reviewed,ci,ci
2019-07-06T03:42:52.540Z,35.8838348,-117.6920013,4.52,3.94,mlr,23,132,0.1212,0.16,ci,ci38457655,2019-07-06T22:10:20.164Z,"20km ESE of Little Lake, CA",earthquake,0.36,1.07,0.266,24,reviewed,ci,ci
2019-07-04T18:54:13.880Z,35.598999,-117.6016693,2.32,3.92,mlr,68,28,0.1144,0.15,ci,ci38443703,2019-07-06T05:52:12.965Z,"7km ESE of Ridgecrest, CA",earthquake,0.15,0.44,0.222,15,reviewed,ci,ci
2019-07-04T17:37:55.590Z,35.7421667,-117.5531667,4.15,3.91,mlr,25,135,0.08179,0.23,ci,ci38443199,2019-07-06T21:44:20.510Z,"14km WSW of Searles Valley, CA",earthquake,0.37,0.98,0.115,12,reviewed,ci,ci
2019-07-06T07:04:42.210Z,35.8824997,-117.7434998,3.6,3.91,mlr,45,38,0.0758,0.19,ci,ci38459327,2019-07-06T18:51:31.444Z,"16km ESE of Little Lake, CA",earthquake,0.2,0.61,0.275,16,reviewed,ci,ci
2019-07-06T07:54:46.600Z,35.7039986,-117.5579987,7.06,3.91,mlr,64,43,0.116,0.21,ci,ci38459887,2019-07-06T18:47:39.227Z,"14km NE of Ridgecrest, CA",earthquake,0.18,0.73,0.261,15,reviewed,ci,ci
2019-07-06T06:41:15.080Z,35.8008347,-117.6334991,6.55,3.9,mlr,56,42,0.1071,0.23,ci,ci38459047,2019-07-06T22:42:48.373Z,"20km N of Ridgecrest, CA",earthquake,0.22,0.81,0.179,15,reviewed,ci,ci
2019-07-06T17:59:14.840Z,35.8996658,-117.7346649,3.01,3.9,mw,51,39,0.08369,0.2,ci,ci38466495,2019-07-06T23:13:54.721Z,"16km ESE of Little Lake, CA",earthquake,0.2,0.8,,6,reviewed,ci,ci
2019-07-06T04:58:36.780Z,35.6990013,-117.5739975,2.06,3.88,mlr,44,58,0.1438,0.26,ci,ci38458143,2019-07-06T23:08:01.286Z,"13km NE of Ridgecrest, CA",earthquake,0.24,0.52,0.263,17,reviewed,ci,ci
2019-07-06T18:46:26.290Z,35.6515007,-117.4645004,3.95,3.87,mw,63,39,0.06489,0.19,ci,ci38466847,2019-07-06T20:48:07.071Z,"14km SSW of Searles Valley, CA",earthquake,0.2,1.16,,6,reviewed,ci,ci
2019-07-04T17:44:32.880Z,35.6828346,-117.5118332,1,3.85,mlr,43,46,0.1043,0.19,ci,ci38443255,2019-07-06T06:49:44.310Z,"14km SW of Searles Valley, CA",earthquake,0.22,0.47,0.251,25,reviewed,ci,ci
2019-07-04T18:28:43.610Z,35.6661667,-117.5723333,4.05,3.85,mlr,50,42,0.1199,0.17,ci,ci38443543,2019-07-05T18:33:37.203Z,"11km ENE of Ridgecrest, CA",earthquake,0.13,0.48,0.191,22,reviewed,ci,ci
2019-07-05T17:02:36.530Z,35.6175003,-117.5821686,9.91,3.84,mw,69,33,0.1025,0.19,ci,ci38453279,2019-07-06T22:04:26.024Z,"8km E of Ridgecrest, CA",earthquake,0.18,0.49,,4,reviewed,ci,ci
2019-07-06T11:06:43.350Z,35.7926674,-117.6228333,3.7,3.84,mw,57,42,0.03088,0.17,ci,ci38462063,2019-07-06T19:20:10.833Z,"20km NNE of Ridgecrest, CA",earthquake,0.17,0.49,,6,reviewed,ci,ci
2019-07-06T03:49:52.210Z,35.8308334,-117.6776657,3.47,3.82,mlr,21,61,0.1641,0.18,ci,ci38457695,2019-07-06T19:43:06.855Z,"23km N of Ridgecrest, CA",earthquake,0.32,1.87,0.194,18,reviewed,ci,ci
2019-07-06T10:37:27.910Z,35.6108322,-117.3811646,-0.83,3.82,mw,53,34,0.07036,0.37,ci,ci38461735,2019-07-06T20:50:09.246Z,"17km S of Trona, CA",earthquake,0.33,0.68,,4,reviewed,ci,ci
2019-07-06T07:16:02.481Z,35.9021,-117.7589,4.81,3.8,ml,,59,0.628,0.8,us,us70004c1e,2019-07-06T09:16:55.745Z,"28km N of Inyokern, California",earthquake,2.3,6.5,0.04,84,reviewed,us,us
2019-07-04T18:06:16.110Z,35.6599998,-117.527832,1.18,3.78,mlr,61,61,0.09076,0.18,ci,ci38443383,2019-07-05T18:18:59.805Z,"14km ENE of Ridgecrest, CA",earthquake,0.18,0.44,0.212,17,reviewed,ci,ci
2019-07-06T04:53:42.020Z,35.8673325,-117.6634979,3.91,3.76,mlr,44,43,0.1496,0.22,ci,ci38458087,2019-07-06T19:48:40.051Z,"23km ESE of Little Lake, CA",earthquake,0.28,0.99,0.124,4,reviewed,ci,ci
2019-07-04T17:40:02.200Z,35.7231674,-117.5756683,3.1,3.75,mlr,27,63,0.1647,0.16,ci,ci38443223,2019-07-05T23:51:48.848Z,"14km NE of Ridgecrest, CA",earthquake,0.26,1.03,0.106,7,reviewed,ci,ci
2019-07-06T07:52:24.550Z,35.885334,-117.7301636,4.46,3.75,mlr,41,38,0.09557,0.16,ci,ci38459863,2019-07-06T19:47:48.387Z,"17km ESE of Little Lake, CA",earthquake,0.18,0.43,0.244,15,reviewed,ci,ci
2019-07-06T09:59:26.640Z,35.8773346,-117.7083359,5.91,3.75,mw,49,36,0.08259,0.18,ci,ci38461311,2019-07-06T19:04:09.250Z,"19km ESE of Little Lake, CA",earthquake,0.19,0.59,,6,reviewed,ci,ci
2019-07-06T04:24:40.610Z,35.8914986,-117.6880035,4.64,3.74,mlr,39,40,0.1201,0.25,ci,ci38457895,2019-07-06T23:21:33.666Z,"20km ESE of Little Lake, CA",earthquake,0.31,1.62,0.195,20,reviewed,ci,ci
2019-07-06T05:26:52.970Z,35.6493333,-117.4578333,2.37,3.74,mlr,10,116,0.0628,0.17,ci,ci38458391,2019-07-06T19:56:13.073Z,"14km SSW of Searles Valley, CA",earthquake,0.33,0.65,0.144,103,reviewed,ci,ci
2019-07-04T23:42:33.710Z,35.7470016,-117.5681686,2.42,3.72,mw,56,44,0.1581,0.17,ci,ci38445751,2019-07-05T23:44:34.175Z,"15km W of Searles Valley, CA",earthquake,0.16,0.91,,6,reviewed,ci,ci
2019-07-05T07:27:37.020Z,35.75,-117.5641632,3.38,3.72,mw,59,44,0.1622,0.2,ci,ci38448791,2019-07-06T07:29:25.734Z,"15km W of Searles Valley, CA",earthquake,0.19,0.81,,4,reviewed,ci,ci
2019-07-06T18:36:50.000Z,35.9063339,-117.7391663,2.23,3.72,mw,54,36,0.07686,0.19,ci,ci38466775,2019-07-06T21:30:08.106Z,"16km ESE of Little Lake, CA",earthquake,0.18,0.44,,6,reviewed,ci,ci
2019-07-06T23:21:34.180Z,35.7003326,-117.5093307,6.85,3.71,mw,64,46,0.1199,0.21,ci,ci38469079,2019-07-07T01:22:52.412Z,"12km SW of Searles Valley, CA",earthquake,0.18,0.7,,6,reviewed,ci,ci
2019-07-06T06:47:08.090Z,35.787,-117.6193333,3.01,3.68,ml,35,56,0.03372,0.22,ci,ci38459135,2019-07-06T22:12:07.695Z,"19km NNE of Ridgecrest, CA",earthquake,0.19,0.46,0.131,161,reviewed,ci,ci
2019-07-06T07:56:03.680Z,35.6728325,-117.4743347,1.86,3.68,mlr,49,54,0.08671,0.16,ci,ci38459895,2019-07-06T20:17:42.435Z,"12km SSW of Searles Valley, CA",earthquake,0.17,0.45,0.231,28,reviewed,ci,ci
2019-07-06T11:15:20.780Z,35.6463318,-117.4651642,-0.2,3.68,mw,50,38,0.05975,0.17,ci,ci38462175,2019-07-06T19:12:07.651Z,"15km SSW of Searles Valley, CA",earthquake,0.16,0.34,,4,reviewed,ci,ci
2019-07-06T03:40:04.160Z,35.909832,-117.697998,4.82,3.66,mlr,23,59,0.1049,0.19,ci,ci38457631,2019-07-06T10:02:54.663Z,"19km E of Little Lake, CA",earthquake,0.4,1.63,0.22,8,reviewed,ci,ci
2019-07-06T04:41:03.100Z,35.8996658,-117.7268295,4.5,3.66,mlr,21,159,0.08889,0.13,ci,ci38457991,2019-07-06T23:19:41.101Z,"17km ESE of Little Lake, CA",earthquake,0.45,0.75,0.188,9,reviewed,ci,ci
2019-07-05T06:09:23.130Z,35.6223335,-117.5733337,6.19,3.65,mw,69,37,0.09737,0.15,ci,ci38448295,2019-07-06T06:11:36.545Z,"9km E of Ridgecrest, CA",earthquake,0.15,0.61,,6,reviewed,ci,ci
2019-07-05T12:55:04.830Z,35.7508316,-117.5633316,6.9,3.65,mw,64,44,0.07048,0.18,ci,ci38451239,2019-07-06T12:56:44.666Z,"14km W of Searles Valley, CA",earthquake,0.16,0.56,,4,reviewed,ci,ci
2019-07-06T05:08:11.300Z,35.715168,-117.5666656,6.62,3.65,mlr,60,44,0.1514,0.21,ci,ci38458215,2019-07-06T22:58:36.214Z,"14km NE of Ridgecrest, CA",earthquake,0.18,0.78,0.166,17,reviewed,ci,ci
2019-07-06T13:32:59.560Z,35.6744995,-117.487999,1.31,3.65,mw,55,38,0.09029,0.2,ci,ci38463791,2019-07-06T19:15:02.904Z,"13km SW of Searles Valley, CA",earthquake,0.18,0.42,,7,reviewed,ci,ci
2019-07-06T03:59:48.810Z,35.876667,-117.7200012,3.11,3.64,mlr,27,92,0.1075,0.26,ci,ci38457759,2019-07-06T18:25:23.382Z,"18km ESE of Little Lake, CA",earthquake,0.5,1.45,0.196,16,reviewed,ci,ci
2019-07-06T13:43:18.770Z,35.6176682,-117.4788361,7.36,3.64,mw,62,39,0.03393,0.16,ci,ci38463911,2019-07-06T19:23:05.533Z,"18km E of Ridgecrest, CA",earthquake,0.17,0.53,,4,reviewed,ci,ci
2019-07-06T00:51:25.720Z,35.7471657,-117.5804977,4.9,3.63,mlr,59,43,0.06981,0.19,ci,ci38456615,2019-07-07T00:52:46.276Z,"16km W of Searles Valley, CA",earthquake,0.2,0.58,0.266,15,reviewed,ci,ci
2019-07-06T05:33:00.080Z,35.841835,-117.6838303,7.09,3.63,mlr,37,61,0.07376,0.21,ci,ci38458439,2019-07-06T19:56:59.890Z,"23km ESE of Little Lake, CA",earthquake,0.28,0.93,0.191,17,automatic,ci,ci
2019-07-06T05:59:44.200Z,35.7363333,-117.5693333,2.74,3.63,mlr,25,85,0.08248,0.19,ci,ci38458663,2019-07-06T22:55:34.254Z,"15km WSW of Searles Valley, CA",earthquake,0.26,0.65,0.252,40,reviewed,ci,ci
2019-07-06T06:52:25.840Z,35.5620003,-117.3945007,1.34,3.63,mlr,38,75,0.04432,0.23,ci,ci38459207,2019-07-06T22:42:04.929Z,"22km S of Trona, CA",earthquake,0.27,0.77,0.307,21,reviewed,ci,ci
2019-07-06T08:10:50.060Z,35.9143333,-117.7174988,2.35,3.62,mw,50,38,0.08852,0.14,ci,ci38460039,2019-07-06T20:19:39.244Z,"17km E of Little Lake, CA",earthquake,0.18,0.39,,4,reviewed,ci,ci
2019-07-06T03:38:56.090Z,35.6508331,-117.4618301,4.26,3.61,mlr,11,91,0.06419,0.14,ci,ci38457623,2019-07-06T22:10:09.302Z,"14km SSW of Searles Valley, CA",earthquake,0.51,1.34,0.287,19,reviewed,ci,ci
2019-07-06T06:31:00.640Z,35.8714981,-117.6858368,1.69,3.61,mlr,39,40,0.08983,0.25,ci,ci38458951,2019-07-06T08:32:04.911Z,"21km ESE of Little Lake, CA",earthquake,0.25,0.6,0.228,17,reviewed,ci,ci
